datetime,open,high,low,close,volume,signals,signal_type
2018-01-07,17069.79,17099.96,15610.0,16150.03,12493.125558,-1,market
2018-01-13,13749.95,14580.0,13706.15,14210.0,12221.508528,2,market
2018-01-14 10:03:00,13899.95,13929.0,13804.62,13825.05,71.782443,-1,tpsl
2018-01-15,13477.98,14249.99,13147.79,13539.93,14652.094705,-1,market
2018-01-17 03:48:00,9500.0,9501.0,9280.0,9400.0,430.752358,1,tpsl
2018-01-19,10960.0,11795.0,10360.0,11474.98,34129.375421,1,market
2018-01-20 00:00:00,11102.04,11195.71,11082.1,11157.04,136.743893,-1,tpsl
2018-01-22,11530.0,11926.35,9900.24,10760.05,43752.606791,-1,market
2018-01-23 21:54:00,10909.95,11078.0,10900.61,11041.05,184.019139,1,tpsl
2018-01-25,11349.96,11794.05,10950.21,11175.27,20839.954183,1,market
2018-01-26 13:33:00,10995.97,10999.99,10821.11,10847.64,283.210562,-1,tpsl
2018-01-29,11879.95,11975.02,11139.55,11251.0,14170.377538,-1,market
2018-02-05 13:42:00,7944.22,7950.0,7822.0,7827.23,246.561631,1,tpsl
2018-02-07,7655.02,8476.0,7150.01,7599.0,60778.460497,1,market
2018-02-11,8533.99,8549.0,7726.53,8063.88,45025.187952,-2,market
2018-02-12 00:12:00,8269.52,8280.31,8259.59,8273.87,58.792399,1,tpsl
2018-02-19,10375.01,11250.0,10270.33,11153.0,40831.417131,-1,market
2018-02-20 06:30:00,11409.0,11447.0,11400.0,11447.0,116.158885,1,tpsl
2018-02-21,11195.07,11304.03,10200.0,10437.6,68113.818754,-1,market
2018-02-22 07:42:00,10650.16,10724.98,10650.13,10710.11,265.921287,1,tpsl
2018-02-26,9590.0,10444.32,9350.0,10324.0,34878.292756,1,market
2018-03-06,11455.0,11455.0,10555.48,10716.48,29515.572363,-2,market
2018-03-11,8770.22,9740.0,8450.0,9533.57,44325.973386,2,market
2018-03-12 20:24:00,9377.38,9377.42,9275.0,9275.5,249.013176,-1,tpsl
2018-03-13,9131.34,9474.0,8823.0,9150.0,40191.409358,-1,market
2018-03-19,8189.0,8705.23,8088.4,8600.0,55297.084942,2,market
2018-03-20 00:06:00,8403.94,8420.0,8371.0,8372.31,80.807783,-1,tpsl
2018-03-22,8884.82,9100.0,8465.1,8722.9,40617.556809,-1,market
2018-03-24 10:15:00,8925.0,8951.73,8920.06,8951.0,143.277029,1,tpsl
2018-04-02,6813.01,7125.0,6765.0,7056.0,32123.560072,1,market
2018-04-04 19:48:00,6890.96,6896.9,6862.8,6869.99,195.74172,-1,tpsl
2018-04-05,6796.1,6902.0,6566.69,6770.76,39029.73146,-1,market
2018-04-07 20:57:00,6896.24,6985.0,6896.12,6974.01,450.194185,1,tpsl
2018-04-08,6895.81,7109.13,6880.0,7018.0,21427.673165,1,market
2018-04-09 15:48:00,6950.0,6955.51,6800.0,6805.02,911.526291,-1,tpsl
2018-04-10,6781.55,6890.0,6656.0,6843.9,22326.728095,-1,market
2018-04-11,6839.56,6990.0,6787.0,6953.79,23997.871177,2,market
2018-04-12 12:27:00,6830.0,6844.19,6765.0,6776.4,714.495728,-1,tpsl
2018-04-17,8064.92,8173.7,7825.4,7885.02,32152.603567,-1,market
